		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat		THSW			Rain	Solar	Solar	Hi Solar		UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	UV 	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
06/07/25	2:00 p	29.5	29.6	29.4	72	23.9	0.4	NE	0.27	2.7	S	29.5	34.3	34.3	40.7	753.7	0.00	0.0	630	9.03	1225	6.1	0.33	9.2	0.000	0.078	24.9	56	15.5	25.1	0.43	228	1	100.0	10
06/07/25	2:10 p	29.5	29.5	29.4	71	23.7	0.9	N	0.54	3.6	SE	29.5	34.2	34.2	41.0	753.7	0.00	0.0	736	10.55	1234	7.2	0.39	9.9	0.000	0.078	24.9	57	15.8	25.2	0.00	223	1	97.8	10
06/07/25	2:20 p	29.7	29.8	29.5	71	23.8	0.9	SE	0.54	3.1	SE	29.7	34.6	34.6	40.2	753.7	0.00	0.0	538	7.71	694	6.1	0.33	8.5	0.000	0.079	25.0	56	15.6	25.2	0.00	227	1	99.6	10
06/07/25	2:30 p	29.8	29.8	29.8	70	23.7	0.4	S	0.27	3.6	S	29.8	34.6	34.6	40.7	753.8	0.00	0.0	596	8.54	1129	5.9	0.32	8.5	0.000	0.079	24.9	56	15.5	25.1	0.00	229	1	100.0	10
06/07/25	2:40 p	29.8	29.8	29.7	69	23.5	1.3	SE	0.80	4.0	SE	29.8	34.4	34.4	41.2	753.7	0.00	0.0	861	12.34	1004	7.3	0.39	8.4	0.000	0.079	25.0	55	15.3	25.2	0.00	231	1	100.0	10
06/07/25	2:50 p	29.7	29.8	29.7	69	23.4	0.9	NE	0.54	4.5	S	29.7	34.3	34.3	41.0	753.6	0.00	0.0	847	12.14	888	7.4	0.40	7.7	0.000	0.079	24.9	56	15.5	25.1	0.00	225	1	98.7	10
06/07/25	3:00 p	29.8	29.8	29.8	68	23.3	1.3	SSE	0.80	4.5	SW	29.8	34.3	34.3	41.1	753.6	0.00	0.0	825	11.83	842	7.1	0.38	7.2	0.000	0.080	25.0	55	15.3	25.2	0.53	225	1	98.7	10
06/07/25	3:10 p	29.9	29.9	29.8	68	23.3	0.9	S	0.54	3.6	SSE	29.9	34.5	34.5	41.2	753.7	0.00	0.0	699	10.02	877	5.7	0.31	7.1	0.000	0.080	24.9	56	15.5	25.1	0.00	228	1	100.0	10
06/07/25	3:20 p	30.0	30.1	29.9	67	23.2	0.9	S	0.54	4.5	N	30.0	34.6	34.6	40.8	753.6	0.00	0.0	846	12.13	891	6.1	0.33	6.8	0.000	0.081	25.0	55	15.3	25.2	0.00	231	1	100.0	10
06/07/25	3:30 p	30.1	30.2	30.1	67	23.3	0.9	S	0.54	4.5	SSE	30.1	34.8	34.8	41.4	753.5	0.00	0.0	678	9.72	861	5.2	0.28	6.4	0.000	0.082	25.0	55	15.3	25.2	0.00	227	1	99.6	10
06/07/25	3:40 p	30.1	30.2	30.1	67	23.3	0.4	S	0.27	3.6	WSW	30.1	34.8	34.8	39.9	753.4	0.00	0.0	463	6.64	896	4.4	0.24	6.1	0.000	0.082	25.1	55	15.4	25.2	0.00	226	1	99.1	10
06/07/25	3:50 p	30.1	30.1	30.1	66	23.0	0.4	S	0.27	3.1	S	30.1	34.4	34.4	38.9	753.5	0.00	0.0	388	5.56	462	4.3	0.23	6.0	0.000	0.081	25.1	54	15.1	25.2	0.00	230	1	100.0	10
06/07/25	4:00 p	30.0	30.1	30.0	66	23.0	1.3	SE	0.80	4.0	SSE	30.0	34.3	34.3	40.8	753.6	0.00	0.0	613	8.79	891	5.2	0.28	6.3	0.000	0.081	25.2	54	15.3	25.4	0.43	226	1	99.1	10
06/07/25	4:10 p	30.1	30.2	30.0	66	23.0	1.3	SE	0.80	4.5	NNE	30.1	34.4	34.4	40.7	753.8	0.00	0.0	577	8.27	849	4.3	0.23	5.6	0.000	0.081	25.2	54	15.3	25.4	0.00	226	1	99.1	10
06/07/25	4:20 p	30.2	30.2	30.1	66	23.1	0.4	SSE	0.27	3.1	S	30.2	34.7	34.7	39.0	753.8	0.00	0.0	349	5.00	791	3.1	0.17	4.8	0.000	0.082	25.3	54	15.3	25.4	0.00	226	1	99.1	10
06/07/25	4:30 p	30.2	30.2	30.1	66	23.1	0.9	N	0.54	5.4	N	30.2	34.7	34.7	37.2	753.9	0.00	0.0	205	2.94	248	1.7	0.09	2.0	0.000	0.082	25.2	54	15.2	25.3	0.00	231	1	100.0	10
06/07/25	4:40 p	29.7	30.1	29.4	67	22.9	0.4	NW	0.27	4.0	WNW	29.7	33.8	33.8	35.5	753.9	0.00	0.0	147	2.11	202	1.2	0.06	1.7	0.000	0.079	25.0	54	15.0	25.1	0.00	230	1	100.0	10
06/07/25	4:50 p	29.1	29.3	28.7	68	22.5	0.0	NNE	0.00	2.2	NNE	29.1	32.7	32.7	35.1	753.7	0.00	0.0	189	2.71	230	1.0	0.05	1.9	0.000	0.074	24.9	54	15.0	25.1	0.00	227	1	99.6	10
